question_id,question_year,question_field,question_number,question_type,correct_answer,enem_correctness,total_word_count,sentence_count,sentence_length,n_exposed,n_valid_answers,n_correct,sample_accuracy,difficulty_gap,mean_rt_text_to_answer,median_rt_text_to_answer,std_rt_text_to_answer,mean_sec_per_word,mean_sec_per_sentence,notes
2021_CH_46,2021,CH,46,Concrete,B,0.5713472000908519,65.0,5.0,13.0,36,36,16,0.4444444444444444,-0.12690275564640752,77.32714052777781,73.52689499999997,26.473861502673508,1.1896483158119664,15.465428105555564,
2021_CH_51,2021,CH,51,Abstract,A,0.4690162788304226,56.0,3.0,18.67,36,36,28,0.7777777777777778,0.3087614989473552,79.04463497222221,74.62206000000015,31.821394336255395,1.4115113387896825,26.348211657407404,
2021_CH_57,2021,CH,57,Abstract,D,0.304245910773413,44.0,2.0,22.0,36,36,12,0.3333333333333333,0.029087422559920306,73.72085119444446,68.94623650000005,38.66228234170271,1.6754738907828282,36.86042559722223,
2021_CH_65,2021,CH,65,Abstract,A,0.6866014614393652,70.0,3.0,23.33,36,36,31,0.8611111111111112,0.17450964967174598,79.05762127777774,68.43651750000004,50.40929524704934,1.1293945896825395,26.352540425925913,
2021_CH_76,2021,CH,76,Concrete,B,0.1797999836750338,86.0,5.0,17.2,36,36,21,0.5833333333333334,0.40353334965829957,107.34578944444445,94.74089100000003,50.261041164918716,1.2482068540051678,21.469157888888887,
2021_CH_83,2021,CH,83,Abstract,A,0.4347480454401885,120.0,3.0,40.0,36,36,25,0.6944444444444444,0.2596963990042559,93.80349791666667,91.83268349999992,28.914255970776644,0.7816958159722222,31.26783263888889,
2021_CH_86,2021,CH,86,Abstract,A,0.5558420311097073,60.0,1.0,60.0,36,36,30,0.8333333333333334,0.27749130222362606,83.36358277777776,74.69152200000008,37.22582878406463,1.3893930462962958,83.36358277777776,
2021_LC_26,2021,LC,26,Concrete,D,0.3092108298406186,190.0,9.0,21.11,35,35,20,0.5714285714285714,0.2622177415879528,155.53335194285717,147.35547399999996,51.087695884373616,0.8185965891729322,17.281483549206346,
2022_CH_47,2022,CH,47,Abstract,E,0.4736677315356127,114.0,4.0,28.5,36,36,21,0.5833333333333334,0.10966560179772067,100.14876975000007,94.07123849999994,39.47698418280024,0.8784979802631584,25.037192437500018,
2022_CH_51,2022,CH,51,Abstract,E,0.2543846345770937,91.0,5.0,18.2,36,36,17,0.4722222222222222,0.2178375876451285,108.20290461111114,93.06177699999978,48.69610843635785,1.189042907814408,21.640580922222227,
2022_CH_60,2022,CH,60,Abstract,B,0.4528563111830808,89.0,4.0,22.25,36,36,26,0.7222222222222222,0.2693659110391414,86.79916336111114,78.05021799999986,33.51775949199205,0.9752714984394508,21.699790840277785,
2022_CH_71,2022,CH,71,Abstract,A,0.444068288594161,59.0,3.0,19.67,36,36,28,0.7777777777777778,0.3337094891836168,100.37377272222226,85.79178849999971,41.060482408878,1.7012503851224114,33.45792424074075,
