question_id,year,color,question_number,field,question_text_translated,question_itself_translated,question_option_A_translated,question_option_B_translated,question_option_C_translated,question_option_D_translated,question_option_E_translated,type,correctness,answer,total_word_count,sentence_count,sentence_length
2020_CH_59,2020,azul,59,CH,"Ancient shields or crystalline massifs are immense blocks of ancient rocks. These shields are made up of crystalline rocks (magmatic-plutonic), formed in Precambrian eras, or metamorphic rocks (sedimentary material) from the Paleozoic. They are resistant, stable, but quite worn. They correspond to 36% of the territorial area and are divided into two large portions: the Guiana Shield (northern Amazon Plain) and the Brazilian Shield (central-eastern portion of Brazil).",The geological structures indicated in the text are economically important for Brazil as they concentrate,hot springs.,rock salt outcrops.,deposits of metallic minerals.,agricultural limestone deposits.,fossil fuel reserves.,concrete,0.4582523423350119,C,68,4,17.0
2020_CH_70,2020,azul,70,CH,"In fact, until the destruction of Carthage, the people and the Roman Senate governed the Republic in harmony and without passion, and there was no struggle among the citizens for glory or domination; fear of the enemy kept the city in the line of duty. But as soon as fear disappeared from the minds, the evils for which prosperity has a predilection were introduced, that is, debauchery and pride.","The historical event mentioned in Sallust's text, dated 1st century BC, corresponded with the process of",demarcation of public lands.,imposition of debt slavery.,restriction of citizenship by kinship.,restoration of ancestral institutions.,expansion of extra-peninsular borders.,concrete,0.244848972506758,E,69,2,34.5
2020_CH_76,2020,azul,76,CH,"“The main characteristic of the social situation of Anglo-Americans is its eminently democratic character. I previously stated that a very great equality reigned among the emigrants who went to settle in New England. The influence of succession laws contributed to this. Established in one way, succession laws bring together, concentrate and group property and power into one. Established by other principles, they produce the opposite: they divide, share and disseminate goods and power.”
(TOCQUEVILLE, A. Democracy in America.",The text discusses the role played by a standard in creating an environment conducive to,use of slave labor.,consolidation of bourgeois values.,banning religious dissent.,containment of nationalist identification.,hierarchization of economic agents.,abstract,0.315717226144949,B,78,6,13.0
2020_CH_77,2020,azul,77,CH,"We see that every city is a kind of community, and every community is formed with a view to some good, since all the actions of all men are carried out with a view to what seems to them a good; If all communities aim at some good, it is evident that the most important of them all and which includes all the others has this objective more than all and aims at the most important of all goods.","In the fragment, Aristotle promotes a reflection that associates two essential elements to the discussion about community life, namely:","Ethics and politics, as they lead to eudaimonia.","Rhetoric and language, as they take care of the speeches in the agora.","Metaphysics and ontology, as they deal with first philosophy.","Democracy and society, as they refer to social relations.","Generation and corruption, as they encompass the field of physis.",abstract,0.2928950929249277,A,79,1,79.0
2020_CH_78,2020,azul,78,CH,"“Toyotism, from the 1970s onwards, had a great impact on the Western world, when it appeared to advanced countries as a possible option for overcoming an accumulation crisis.”","The organizational characteristic of the model in question, required in the crisis context, was the",expansion of large stocks.,increase in mass manufacturing.,adequacy of production to demand.,increased mechanization of work.,centralization of planning stages.,concrete,0.3834166598860249,C,28,1,28.0
2020_CH_82,2020,azul,82,CH,"The cities of Puebla, Mexico, and Legazpi, the Philippines, have almost nothing in common. They are very far from each other and are inhabited by very different people. What unites them is a tragic detail of their geography. They were built in the vicinity of some of the most dangerous volcanoes in the world: the Mexican Popocatepéti and the Philippine Mayon. Its inhabitants need to be ready to run at any time. They are part of the 550 million individuals who live in volcanic risk zones in the world. Contrary to what would be sensible, they remain there, indifferent to the danger that awaits them.",The physical characteristic that justifies human settlement in the places presented in the text is the occurrence of,only fertile soils.,steep slopes.,diverse vegetation.,efficient drainage.,pleasant climate.,concrete,0.4406437691929831,A,105,7,15.0
2020_CH_84,2020,azul,84,CH,"The collision between a continental and an oceanic plate will cause the subduction of the latter under the continental plate, which, like arcs and islands, will produce a magmatic arc at the edge of the continent, composed of volcanic rocks accompanied by deformations and metamorphism of both pre-existing rocks and part of the rocks formed in the process.",Which physiographic feature is generated by the tectonic process presented?,Abyssal plains.,Crystalline plateaus.,Absolute depressions.,Sedimentary basins.,Modern folds.,concrete,0.217985576821657,E,58,1,58.0
2020_LC_31,2020,azul,31,LC,"Woman has clinically broken heart after dog dies
As The New England Journal of Medicine explains, the patient, named Joanie Simpson, had signs of a heart attack, such as chest pain and high blood pressure, and had problems with her coronary arteries. When doctors performed an echocardiogram, they found the problem: Takotsubo cardiomyopathy, known as broken heart syndrome.
This medical condition typically occurs in postmenopausal women and may be preceded by a very stressful or emotional event. In these cases, the heart presents a transient dyskinetic movement of the anterior wall of the left ventricle, with accentuation of the kinetics of the ventricular base, according to a Brazilian medical article that reports a similar case. Simpson was sent home after two days and started taking regular medication.","Due to the characteristics of the text read, which deals with the consequences of losing a pet, it is considered to fit into the genre","short story, as it shows the life story of Joanie Simpson.","testimony, as it exposes the suffering of the animal's owner.","report, as it scientifically discusses cardiomyopathy.","report, as it narrates a stressful event experienced by the patient.","news, as it discloses facts about broken heart syndrome.",abstract,0.4478960422147685,E,127,5,25.4
2021_CH_46,2021,azul,46,CH,"Your work shift is over, you're home and it's time for family dinner. But instead of relaxing, you start thinking about the possibility that you received an important message in your professional email or company WhatsApp group. Immediately, you become distant. Moments later, with a few taps on your cell phone screen, you are back at your work environment. Dinner and family took a backseat.","The text indicates practical, everyday work relationships that result in the individual's",protection of private life.,expansion of extra activities.,increase in bureaucratic steps.,diversification of recreational leisure.,release from household chores.,concrete,0.5713472000908519,B,65,5,13.0
2021_CH_51,2021,azul,51,CH,"Fair prices and water use authorizations must adequately ensure that water withdrawal, as well as effluent return, maintain efficient and environmentally sustainable operations, in a way that is adaptable to the peculiarities and needs of industry and large-scale irrigation, as well as agricultural activities on a small scale and subsistence.
UNESCO. United Nations World Development Report","Considering the debate on water security, the proposal presented in the text is based on",equitable distribution of supply.,monitoring urban supply.,rationing of river capacity.,gradual revitalization of soils.,generation of recyclable products.,abstract,0.4690162788304226,A,56,3,18.67
2021_CH_57,2021,azul,57,CH,"In the most highly developed sectors of contemporary society, the transplantation of social to individual needs is so effective that the difference between them appears purely theoretical. Creatures recognize themselves in their merchandise; they find their soul in their automobile, walk-up apartments, kitchen utensils.","The text indicates that, in capitalism, the satisfaction of personal desires is influenced by",state disclosure policies.,controlled consumption incentives.,collective organization prescriptions.,subjective identification mechanisms.,rationalized repressions of narcissism.,abstract,0.304245910773413,D,44,2,22.0
2021_CH_65,2021,azul,65,CH,"At the same time, thanks to the ample opportunities I had to observe the middle class, your adversary, I quickly concluded that you are right, entirely right, in not expecting any help from them. Their interests are diametrically opposed to yours, even if she incessantly seeks to affirm the opposite and wants to persuade you that they feel the greatest sympathy for your fate. But their actions belie her words.","In the text, the author presents ethical guidelines that correspond to the",class struggle concept.,foundation of the idea of ​​surplus value.,foundations of the scientific method.,paradigms of the inquiry process.,domains of commodity fetishism.,abstract,0.6866014614393652,A,70,3,23.33
2021_CH_76,2021,azul,76,CH,"Since the 12th century, Western Christianity was agitated by the challenge posed by profane culture – that of chivalric romances, but also the folk culture of peasants and equally that of city dwellers, of a more legal nature – to ecclesiastical culture, whose vehicle was Latin. . Francisco de Assis came to change the situation, offering his listeners a message accessible to everyone and, at the same time, ennobling the vulgar language through its use in religion.
VAUCHEZ, A. The spirituality of the Western Middle Ages, 8th–13th centuries.",The behavior of this religious man demonstrates a concern with the characteristics assumed by the Church and with the social inequalities shared in his time by,feudal lords.,heretical movements.,members of the Crusades.,craft corporations.,medieval universities.,concrete,0.1797999836750338,B,86,5,17.2
2021_CH_83,2021,azul,83,CH,"Among several African peoples, particularly in the ancient Kingdom of Congo, there is graphic evidence that writing took various forms. An example of this are the pot lids carved in bas-relief from the Woyo people (Cabinda region), with everyday scenes and proverbs, drawings in the earth or sand, images engraved or inscribed on the chief's staffs or on sacred stones, but, above all,  movements of the human body inscribed in a familiar gesture. Among Woyo there was a custom for parents to offer their children carved pot lids, conveying a kind of message, with coded signs that translated guidelines for achieving a good marital relationship, being sensible in choosing a spouse and being alert to the difficulties of the marriage.","For the Woyo people, the cultural artifacts mentioned in the text fulfill the function of a",pedagogy of social customs.,imposition of forms of communication.,devaluation of youth behaviors.,destitution of the values ​​of marriage.,ethnography of religious celebrations.,abstract,0.4347480454401885,A,120,3,40.0
2021_CH_86,2021,azul,86,CH,"Philosophy is like a tree, whose roots are metaphysics; the trunk, physics, and the branches that come out of the trunk are all the other sciences, which are reduced to three main ones: medicine, mechanics and morals,
understanding morality as the highest and most perfect because it presupposes integral knowledge of other sciences, and is the last degree of wisdom.","This allegorical construction of Descartes, regarding the epistemological condition of philosophy, has as its goal",sustain the essential unity of knowledge.,refute the fundamental element of beliefs.,boost speculative thinking.,welcome the experimental method.,encourage the suspension of judgments.,abstract,0.5558420311097073,A,60,1,60.0
2021_LC_26,2021,azul,26,LC,"The old papers, when not consumed by fire, sometimes awaken from their sleep to tell news of the past.
This is how you discover something new from an old name, about which you thought you knew everything, like Machado de Assis.
For example, you probably don't know that the Rio de Janeiro author, who died in 1908, wrote lyrics for the national anthem in 1867 — and you couldn't really know, because the verses were still unpublished. Until today.
These lyrics have just been discovered, in an old newspaper in Florianópolis, by independent researcher Felipe Rissato.
“From the forests in which I live/ I release a manly song:/ In honor and glory of Pedro/ The giant of Brazil”, says the beginning of the hymn, composed of seven stanzas in heptasyllabic verse, that is, verses of seven poetic syllables. The excerpt is also the song's chorus.
The Pedro mentioned is Emperor Dom Pedro II. The wizard from Cosme Velho composed the lyrics for the monarch's 42nd birthday, on December 2 of that year — the anthem would be performed that day at the theater in the city of Desterro, formerly known as Florianópolis.","Considering the operations of retrieving information from the text, there is interdependence between the expressions","""The old papers"" and ""It's like that"".","""something new"" and ""about which.""",“an old name” and “For example.”,"""The Giant of Brazil"" and ""The Mentioned Pedro.""","""the emperor Dom Pedro II"" and ""The wizard of Cosme Velho"".",concrete,0.3092108298406186,D,190,9,21.11
2022_CH_47,2022,azul,47,CH,"Whenever the relevance of speech comes into play, the issue becomes political by definition, as it is speech that makes man a political being. And everything that men do, know or experience only makes sense to the extent that it can be discussed. There will, perhaps, be truths that go beyond language and that can be of great relevance to man in the singular, that is, to man who, whatever he may be, is not a political being. But men in the plural, that is, men who live and move and act in this world, can only experience the meaning of things because they can speak and be intelligible among themselves and with themselves.","In the excerpt, philosopher Hannah Arendt shows the importance of language in the process of",understanding of culture.,increased creativity.,perception of individuality.,improvement of technique.,construction of sociability.,abstract,0.4736677315356127,E,114,4,28.5
2022_CH_51,2022,azul,51,CH,"A new economy emerged on a global scale in the last quarter of the 20th century. I call it informational, to identify its fundamental and differentiated global and network characteristics and emphasize their interconnection. It is informational because it basically depends on its ability to efficiently generate, process and apply knowledge-based information. It is global because its components are organized on a global scale, directly or through a network of connections between economic agents. It is a network because it is based on a global network of interactions between business networks.",What structural change is the result of the form of economic organization described in the text?,Series manufacturing.,Expansion of stocks.,Weakening of cartels.,Standardization of goods.,Deterritorialization of production.,abstract,0.2543846345770937,E,91,5,18.2
2022_CH_60,2022,azul,60,CH,"An experiment called FunFit was developed with the aim of making members of a local community become more physically active. All study participants were linked to two other community members who would receive small cash incentives to encourage them to increase their physical activity, which was measured by accelerometers on state-issued cell phones. Thus, if the person walked more than usual, his acquaintances would receive the money. The results were astonishing: the scheme proved to be four to eight times more effective than the method of offering individual incentives.","Contrary to the prevailing view about the technological impact on human relationships, the text reveals that cell phones can play a role","recreational, promoting leisure in integrated networks.","social, encouraging reciprocity through digital means.","labor, converting the developer into an end user.","commercial, directing the choice for industrialized products.","cognitive, favoring virtual tools.",abstract,0.4528563111830808,B,89,4,22.25
2022_CH_71,2022,azul,71,CH,"The basic principle of the rule of law is the elimination of discretion in the exercise of public powers, with the consequent guarantee of individuals' rights before these powers. Rule of law means that no individual, president or ordinary citizen is above the law. Democratic governments exercise authority through law and are themselves subject to constraints imposed by law.","In contemporary societies, it consists of a violation of the basic principle stated in the text:",Suppression of elections for political representatives.,Intervention in areas of vulnerability by the Church.,Dissemination of social projects in universities.,Expansion of income concentration processes.,Regulation of labor relations by the Legislature.,abstract,0.444068288594161,A,59,3,19.67
